project,result,command
Wise Lending,FALSE,python3 defi_tainter.py -bp ETH -la 0x84524baa1951247b3a2617a843e6ece915bb9674 -sa 0x84524baa1951247b3a2617a843e6ece915bb9674 -fs 0xc7c5c4a7 -bn 18342121
Beluga Protocol,FALSE,python3 defi_tainter.py -bp Arbitrum -la 0x22d909abe10cc2f9fffa4770d8adca0a89493eb0 -sa 0x15a024061c151045ba483e9243291dee6ee5fd8a -fs 0xc5456a2d -bn 140129167
Hope Lend,FALSE,python3 defi_tainter.py -bp ETH -la 0x3a6d9bf8286a4ada77c15ecf82d4c0c0af95be74 -sa 0x53fbcada1201a465740f2d64ecdf6fac425f9030 -fs 0xa415bcad -bn 18377042
beltFinance,TRUE,python3 defi_tainter.py -bp BSC -la 0x9171bf7c050ac8b4cf7835e51f7b4841dfb2ccd0 -sa 0x9171bf7c050ac8b4cf7835e51f7b4841dfb2ccd0 -fs 0x441a3e70 -bn 7839140
spartanProtocol,FALSE,python3 defi_tainter.py -bp BSC -la 0x3de669c4f1f167a8afbc9993e4753b84b576426f -sa 0x3de669c4f1f167a8afbc9993e4753b84b576426f -fs 0x67b9a286 -bn 7048833
valueDeFi,TRUE,python3 defi_tainter.py -bp ETH -la 0xddd7df28b1fb668b77860b473af819b03db61101 -sa 0x55bf8304c78ba6fe47fd251f37d7beb485f86d26 -fs 0x39bb96a8 -bn 11256673
xToken,FALSE,python3 defi_tainter.py -bp ETH -la 0x04bef870de607519c91d16a23434ad5745f62a63 -sa 0x2367012ab9c3da91290f71590d5ce217721eefe4 -fs 0xa0712d68 -bn 12419918
HarvestFinance,TRUE,python3 defi_tainter.py -bp ETH -la 0x9b3be0cc5dd26fd0254088d03d8206792715588b -sa 0xf0358e8c3cd5fa238a29301d0bea3d63a17bedbe -fs 0x2e1a7d4d -bn 11129474
bzX,FALSE,python3 defi_tainter.py -bp ETH -la 0x85ca13d8496b2d22d6518faeb524911e096dd7e0 -sa 0x77f973fcaf871459aa58cd81881ce453759281bc -fs 0xcfb65bb9 -bn 9504627
CheeseBank,TRUE,python3 defi_tainter.py -bp ETH -la 0x5e181bdde2fa8af7265cb3124735e9a13779c021 -sa 0x5e181bdde2fa8af7265cb3124735e9a13779c021 -fs 0xc5ebeaec -bn 11205648
InverseFinance,FALSE,python3 defi_tainter.py -bp ETH -la 0x7fcb7dac61ee35b3d4a51117a7c58d53f0a8a670 -sa 0x7fcb7dac61ee35b3d4a51117a7c58d53f0a8a670 -fs 0xc5ebeaec -bn 14972419
WarpFinance,TRUE,python3 defi_tainter.py -bp ETH -la 0xba539b9a5c2d412cb10e5770435f362094f9541c -sa 0xba539b9a5c2d412cb10e5770435f362094f9541c -fs 0xa555989 -bn 11473330
AutoShark,TRUE,python3 defi_tainter.py -bp BSC -la 0xa007d347f2e55d731e101aae64722c321b2b80dc -sa 0xa007d347f2e55d731e101aae64722c321b2b80dc -fs 0x3d18b912 -bn 7698696
Merlin Labs,TRUE,python3 defi_tainter.py -bp BSC -la 0x8927f48b12814beda29844ed73b21232720b1d07 -sa 0x758c6c9731ee68ad278f8c2f2f27b84acb092649 -fs 0x3d18b912 -bn 7734914
PancakeBunny,TRUE,python3 defi_tainter.py -bp BSC -la 0xd415e6caa8af7cc17b7abd872a42d5f2c90838ea -sa 0x633e538ecf0bee1a18c2edfe10c4da0d6e71e77b -fs 0x3d18b912 -bn 7556391
PancakeHunny,TRUE,python3 defi_tainter.py -bp BSC -la 0x12180bb36ddbce325b3be0c087d61fce39b8f5a4 -sa 0x12180bb36ddbce325b3be0c087d61fce39b8f5a4 -fs 0x3d18b912 -bn 7962339
